循環,迴圈,子循環,子迴圈,MR編號,子配方編號,工步編號,工步,工步種類,日期時間,工步執行時間(秒),工步時間,截止電壓(V),截止電流(A),能量(Wh),截止電量(Ah),功率(W),充電電量(Ah),放電電量(Ah),充電能量(Wh),放電能量(Wh),總電量(Ah),截止Q(%),狀態,Aux T1,溫箱溫度,Aux T2,Aux T3
1,1,1,1,1,1,1,1,靜置,03/31/2025 16:48:52,60,00:00:01:00.000,4.19259,0,0,0,0,0,0,0,0,0,0,StepFinishByCut_T,25.41,25.1,25.34,25.3
1,1,1,1,1,1,2,2,溫箱控制,03/31/2025 16:49:52,49.191,00:00:00:49.191,4.192528,0,0,0,0,0,0,0,0,0,0,STSSkipByIPC,25.37,25,25.3,25.26
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 16:51:03,89.209,00:00:01:29.209,4.199968,0.999897,0.330224,0.078625,4.199536,0.078625,0,0.330224,0,0.078625,0,StepFinishByCut_I,25.28,25,25.24,25.2
1,1,1,1,1,1,4,4,靜置,03/31/2025 16:52:32,1800,00:00:30:00.000,4.1965,0,0,0,0,0.078625,0,0.330224,0,0.078625,0,StepFinishByCut_T,24.83,24.5,24.81,24.77
1,1,1,1,1,1,5,5,CC放電,03/31/2025 17:22:32,3458.182,00:00:57:38.182,3,-20.00498,-70.99936,-19.21822,-60.01493,0.078625,19.21822,0.330224,70.99936,-19.1396,0,StepFinishByCut_V,24.88,24.5,24.9,24.78
1,1,1,1,1,1,6,6,靜置,03/31/2025 18:20:10,1800,00:00:30:00.000,3.077832,0,0,0,0,0.078625,19.21822,0.330224,70.99936,-19.1396,0,StepFinishByCut_T,24.89,24.5,24.87,24.81
1,1,1,2,1,1,3,7,CC-CV充電,03/31/2025 18:50:10,3676.524,00:01:01:16.524,4.199945,0.999015,71.99442,19.14505,4.195809,19.22367,19.21822,72.32465,70.99936,0.005449,0,StepFinishByCut_I,24.94,24.5,24.9,24.82
1,1,1,2,1,1,4,8,靜置,03/31/2025 19:51:27,1800,00:00:30:00.000,4.192471,0,0,0,0,19.22367,19.21822,72.32465,70.99936,0.005449,0,StepFinishByCut_T,24.89,24.5,24.83,24.79
1,1,1,2,1,1,5,9,CC放電,03/31/2025 20:21:27,3446.344,00:00:57:26.344,2.999999,-20.00655,-70.72704,-19.15238,-60.01963,19.22367,38.37061,72.32465,141.7264,-19.14693,0,StepFinishByCut_V,24.9,24.5,24.93,24.82
1,1,1,2,1,1,6,10,靜置,03/31/2025 21:18:53,1800,00:00:30:00.000,3.076609,0,0,0,0,19.22367,38.37061,72.32465,141.7264,-19.14693,0,StepFinishByCut_T,24.91,24.5,24.87,24.8
1,1,1,1,1,1,7,11,CC-CV充電,03/31/2025 21:48:53,2757.423,00:00:45:57.423,3.99824,20.0056,56.28746,15.32191,79.98719,34.54558,38.37061,128.6121,141.7264,-3.825028,0,StepFinishByFunction,24.87,24.5,24.9,24.77
1,1,1,1,1,1,8,12,溫箱控制,03/31/2025 22:34:51,3603.441,00:01:00:03.441,3.970865,0,0,0,0,34.54558,38.37061,128.6121,141.7264,-3.825028,0,StepRunning,-4.41,-5.5,-4.62,-4.79
1,1,1,1,1,1,9,13,靜置,03/31/2025 23:34:54,7200,00:02:00:00.000,3.970451,0,0,0,0,34.54558,38.37061,128.6121,141.7264,-3.825028,0,StepFinishByCut_T,-4.41,-5.5,-4.72,-4.92
1,1,1,1,1,1,10,14,靜置,04/01/2025 01:34:54,3600,00:01:00:00.000,3.970316,0,0,0,0,34.54558,38.37061,128.6121,141.7264,-3.825028,0,StepFinishByCut_T,-4.39,-5.5,-4.71,-4.94
1,1,1,1,1,1,11,15,超級CP充電,04/01/2025 02:34:54,4.165,00:00:00:04.165,4.400027,252.5729,1.285806,0.294278,1111.328,34.83986,38.37061,129.8979,141.7264,-3.53075,0,StepFinishByCut_V,-4.4,-5.5,-4.7,-4.95
1,1,1,1,1,1,12,16,靜置,04/01/2025 02:35:09,600,00:00:10:00.000,3.990868,0,0,0,0,34.83986,38.37061,129.8979,141.7264,-3.53075,0,StepFinishByCut_T,-4.4,-5.5,-4.69,-4.92
1,1,1,1,1,1,13,17,CC放電,04/01/2025 02:45:09,531.02,00:00:08:51.020,3.962081,-1.997244,-1.169347,-0.294278,-7.913241,34.83986,38.66489,129.8979,142.8958,-3.825028,0,StepFinishByFunction,-4.39,-5.5,-4.73,-4.95
1,1,1,1,1,1,14,18,靜置,04/01/2025 02:54:00,600,00:00:10:00.000,3.969042,0,0,0,0,34.83986,38.66489,129.8979,142.8958,-3.825028,0,StepFinishByCut_T,-4.34,-5.5,-4.65,-4.9
