循環,迴圈,子循環,子迴圈,MR編號,子工步編號,工步編號,工步,工步種類,實際開始時間,執行時間(秒),工步執行時間(秒),電壓(V),電流(A),功率(W),電量(Ah),能量(Wh),總電量(Ah),狀態,Aux T1,溫箱溫度,Aux T2,Aux T3
1,1,1,1,1,1,1,1,靜置,02/20/2025 09:20:54,0.01,0.01,3.491296,0,0,0,0,0,StepRunning,25.24,25,24.69,24.6
1,1,1,1,1,1,1,1,靜置,02/20/2025 09:21:54,60,60,3.491991,0,0,0,0,0,StepFinishByCut_T,25.2,25,24.7,24.6
1,1,1,1,1,1,2,2,溫箱控制,02/20/2025 09:21:54,60.01,0.01,3.491994,0,0,0,0,0,StepRunning,25.2,25,24.7,24.6
1,1,1,1,1,1,2,2,溫箱控制,02/20/2025 09:31:54,660,600,3.494421,0,0,0,0,0,StepRunning,24.96,25,24.67,24.57
1,1,1,1,1,1,2,2,溫箱控制,02/20/2025 09:41:54,1260,1200,3.495335,0,0,0,0,0,StepRunning,24.85,25,24.69,24.58
1,1,1,1,1,1,2,2,溫箱控制,02/20/2025 09:51:54,1860,1800,3.495866,0,0,0,0,0,StepRunning,24.79,25,24.7,24.59
1,1,1,1,1,1,2,2,溫箱控制,02/20/2025 10:01:54,2460,2400,3.496275,0,0,0,0,0,StepRunning,24.76,25,24.69,24.61
1,1,1,1,1,1,2,2,溫箱控制,02/20/2025 10:01:56,2461.848,2401.848,3.4963,0,0,0,0,0,StepRunning,24.76,25,24.68,24.58
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:01:56,2461.858,0.01,3.506893,19.4859,68.334984,5.4E-05,0.00019,5.4E-05,StepRunning,24.76,25,24.68,24.58
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:02:56,2521.848,60,3.537771,19.4899,68.950813,0.324848,1.145323,0.324847,StepRunning,24.74,25,24.69,24.6
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:03:56,2581.848,120,3.555921,19.49115,69.30899,0.649692,2.297635,0.649692,StepRunning,24.71,25,24.7,24.58
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:04:56,2641.848,180,3.56998,19.49109,69.582794,0.974532,3.455074,0.974532,StepRunning,24.7,25,24.69,24.6
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:05:56,2701.848,240,3.583456,19.49461,69.858078,1.299375,4.616927,1.299375,StepRunning,24.68,25,24.7,24.59
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:06:56,2761.848,300,3.5966,19.4899,70.097374,1.624226,5.783179,1.624226,StepRunning,24.7,25,24.69,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:07:56,2821.848,360,3.607657,19.49189,70.32003,1.949068,6.953366,1.949068,StepRunning,24.7,25,24.68,24.58
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:08:56,2881.848,420,3.616738,19.492,70.497459,2.273921,8.126823,2.273921,StepRunning,24.7,25,24.71,24.59
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:09:56,2941.848,480,3.624828,19.49006,70.64814,2.598772,9.303081,2.598772,StepRunning,24.7,25,24.69,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:10:56,3001.848,540,3.631453,19.49154,70.782623,2.923622,10.48172,2.923622,StepRunning,24.74,25,24.7,24.59
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:11:56,3061.848,600,3.637129,19.49212,70.895332,3.248466,11.66231,3.248466,StepRunning,24.82,25,24.67,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:12:56,3121.848,660,3.642535,19.49195,71.000092,3.573315,12.84471,3.573315,StepRunning,24.91,25,24.69,24.59
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:13:56,3181.848,720,3.647969,19.4903,71.100014,3.898163,14.02885,3.898163,StepRunning,25,25,24.7,24.6
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:14:56,3241.848,780,3.653583,19.48904,71.204842,4.223008,15.21479,4.223008,StepRunning,25.11,25,24.71,24.6
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:15:56,3301.848,840,3.659443,19.48853,71.317184,4.547853,16.40258,4.547853,StepRunning,25.19,25,24.71,24.6
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:16:56,3361.848,900,3.665639,19.48899,71.439598,4.872702,17.59235,4.872702,StepRunning,25.26,25,24.71,24.62
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:17:56,3421.848,960,3.672225,19.49098,71.575256,5.197548,18.78418,5.197548,StepRunning,25.35,25,24.71,24.6
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:18:56,3481.848,1020,3.679335,19.4903,71.711334,5.522398,19.97824,5.522398,StepRunning,25.42,25,24.71,24.63
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:19:56,3541.848,1080,3.687095,19.49148,71.866928,5.847253,21.17473,5.847253,StepRunning,25.47,25,24.73,24.62
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:20:56,3601.848,1140,3.695673,19.49131,72.033516,6.172103,22.37384,6.172103,StepRunning,25.54,25,24.69,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:21:56,3661.848,1200,3.70505,19.49047,72.213135,6.49695,23.57586,6.49695,StepRunning,25.61,25,24.69,24.62
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:22:56,3721.848,1260,3.71524,19.49036,72.411377,6.821796,24.78106,6.821796,StepRunning,25.67,25,24.7,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:23:56,3781.848,1320,3.726218,19.48933,72.621506,7.146642,25.9897,7.146642,StepRunning,25.73,25,24.7,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:24:56,3841.848,1380,3.738379,19.49126,72.8657,7.471482,27.20207,7.471482,StepRunning,25.78,25,24.71,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:25:56,3901.848,1440,3.751621,19.48978,73.118279,7.796321,28.41857,7.796321,StepRunning,25.82,25,24.71,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:26:56,3961.848,1500,3.766289,19.49275,73.415314,8.121165,29.63961,8.121165,StepRunning,25.84,25,24.7,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:27:56,4021.848,1560,3.782435,19.49018,73.720352,8.446013,30.86566,8.446013,StepRunning,25.9,25,24.69,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:28:56,4081.848,1620,3.800424,19.49018,74.070969,8.770852,32.09721,8.770852,StepRunning,25.93,25,24.69,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:29:56,4141.848,1680,3.8201,19.49052,74.455742,9.095691,33.33488,9.095691,StepRunning,25.95,25,24.72,24.62
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:30:56,4201.848,1740,3.840562,19.48928,74.849777,9.42054,34.57917,9.42054,StepRunning,25.95,25,24.73,24.63
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:31:56,4261.848,1800,3.860303,19.49206,75.24527,9.745396,35.83004,9.745396,StepRunning,25.93,25,24.72,24.62
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:32:56,4321.848,1860,3.878687,19.49445,75.612846,10.07025,37.08709,10.070249,StepRunning,25.92,25,24.69,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:33:56,4381.848,1920,3.896054,19.49155,75.940125,10.3951,38.34993,10.395103,StepRunning,25.87,25,24.71,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:34:56,4441.848,1980,3.912894,19.49263,76.272583,10.71996,39.61835,10.719963,StepRunning,25.83,25,24.72,24.6
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:35:56,4501.848,2040,3.929693,19.49217,76.598236,11.04482,40.89224,11.044825,StepRunning,25.8,25,24.73,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:36:56,4561.848,2100,3.946614,19.49007,76.919777,11.36968,42.17155,11.369676,StepRunning,25.75,25,24.7,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:37:56,4621.848,2160,3.963777,19.49172,77.260849,11.69453,43.45641,11.694529,StepRunning,25.73,25,24.71,24.59
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:38:56,4681.848,2220,3.981265,19.48967,77.593559,12.01938,44.74687,12.019376,StepRunning,25.7,25,24.69,24.61
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:39:56,4741.848,2280,3.999169,19.49104,77.947952,12.34422,46.04303,12.344217,StepRunning,25.66,25,24.7,24.6
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:40:56,4801.848,2340,4.017363,19.48836,78.291824,12.66906,47.3451,12.669065,StepRunning,25.63,25,24.72,24.6
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:41:56,4861.848,2400,4.036044,19.4924,78.672188,12.99392,48.65318,12.993919,StepRunning,25.64,25,24.7,24.61
