循環,迴圈,子循環,子迴圈,MR編號,子配方編號,工步編號,工步,工步種類,日期時間,工步執行時間(秒),工步時間,截止電壓(V),截止電流(A),能量(Wh),截止電量(Ah),功率(W),充電電量(Ah),放電電量(Ah),充電能量(Wh),放電能量(Wh),總電量(Ah),截止Q(%),狀態,Aux T1,溫箱溫度,Aux T2,Aux T3,恆電流段電量(Ah),平均電壓(V),Var01,Var02,Var03,Var04,SOC
1,1,1,1,1,1,1,1,靜置,09/04/2024 16:18:56,300,00:00:05:00.000,3.251743,0,0,0,0,0,0,0,0,0,0,StepFinishByCut_T,24.71,24,25.15,25.4,-600000,0,0,0,0,0,
1,1,1,1,1,1,2,2,溫箱控制,09/04/2024 16:23:56,2401.115,00:00:40:01.115,3.251714,0,0,0,0,0,0,0,0,0,0,StepRunning,24.72,24,25.3,25.56,-600000,0,0,0,0,0,
1,1,1,1,1,1,3,3,CC放電,09/04/2024 17:03:57,1002.839,00:00:16:42.839,1.999987,-8.019708,-6.892078,-2.234526,-16.03931,0,2.234526,0,6.892078,-2.234526,0,StepFinishByCut_V,25.41,24,25.42,25.58,-600000,3.084358,0,0,0,0,1%
1,1,1,1,1,1,4,4,靜置,09/04/2024 17:20:40,1800,00:00:30:00.000,2.641496,0,0,0,0,0,2.234526,0,6.892078,-2.234526,0,StepFinishByCut_T,24.76,24,25.01,25.24,-600000,0,0,0,0,0,1%
1,1,1,1,1,1,5,5,CC-CV充電,09/04/2024 17:50:40,4303.242,00:01:11:43.242,3.600071,0.399212,30.03297,9.063713,1.437193,9.063713,2.234526,30.03297,6.892078,6.829187,0,StepFinishByCut_I,25.12,24,24.26,24.43,8.96545,3.313539,0,0,0,0,100%
1,1,1,1,1,1,6,6,靜置,09/04/2024 19:02:23,1800,00:00:30:00.000,3.502908,0,0,0,0,9.063713,2.234526,30.03297,6.892078,6.829187,0,StepFinishByCut_T,24.78,24,24.61,24.85,-600000,0,0,0,0,0,100%
1,1,1,1,1,1,7,7,CC放電,09/04/2024 19:32:23,4080.226,00:01:08:00.226,1.999979,-8.023907,-29.34829,-9.092679,-16.04764,9.063713,11.32721,30.03297,36.24037,-2.263492,0,StepFinishByCut_V,25.51,24,24.19,24.45,-600000,3.227683,9.092679,0,0,0,0%
1,1,1,1,1,1,8,8,靜置,09/04/2024 20:40:23,1800,00:00:30:00.000,2.611766,0,0,0,0,9.063713,11.32721,30.03297,36.24037,-2.263492,0,StepFinishByCut_T,24.75,24,24.57,24.78,-600000,0,9.092679,0,0,0,0%
1,1,1,2,1,1,5,9,CC-CV充電,09/04/2024 21:10:23,4257.329,00:01:10:57.329,3.600041,0.399596,30.09941,9.095317,1.438563,18.15903,11.32721,60.13238,36.24037,6.831825,0,StepFinishByCut_I,25.11,24,24.5,24.7,9.028461,3.30933,9.092679,0,0,0,100%
1,1,1,2,1,1,6,10,靜置,09/04/2024 22:21:21,1800,00:00:30:00.000,3.520108,0,0,0,0,18.15903,11.32721,60.13238,36.24037,6.831825,0,StepFinishByCut_T,24.74,24,25,25.19,-600000,0,9.092679,0,0,0,100%
1,1,1,2,1,1,7,11,CC放電,09/04/2024 22:51:21,4087.524,00:01:08:07.524,1.999991,-8.0205,-29.40741,-9.109476,-16.04093,18.15903,20.43668,60.13238,65.64778,-2.277651,0,StepFinishByCut_V,25.52,24,24.52,24.76,-600000,3.228222,9.109476,0,0,0,0%
1,1,1,2,1,1,8,12,靜置,09/04/2024 23:59:28,1800,00:00:30:00.000,2.595547,0,0,0,0,18.15903,20.43668,60.13238,65.64778,-2.277651,0,StepFinishByCut_T,24.75,24,24.24,24.56,-600000,0,9.109476,0,0,0,0%
1,1,1,3,1,1,5,13,CC-CV充電,09/05/2024 00:29:28,4255.234,00:01:10:55.234,3.600094,0.399566,30.12271,9.104298,1.438474,27.26333,20.43668,90.2551,65.64778,6.826646,0,StepFinishByCut_I,25.11,24,24.69,24.82,9.04008,3.308626,9.109476,0,0,0,100%
1,1,1,3,1,1,6,14,靜置,09/05/2024 01:40:23,1800,00:00:30:00.000,3.521657,0,0,0,0,27.26333,20.43668,90.2551,65.64778,6.826646,0,StepFinishByCut_T,24.75,24,24.65,24.88,-600000,0,9.109476,0,0,0,100%
1,1,1,3,1,1,7,15,CC放電,09/05/2024 02:10:23,4089.532,00:01:08:09.532,1.999993,-8.02317,-29.42285,-9.113585,-16.04629,27.26333,29.55027,90.2551,95.07063,-2.286939,0,StepFinishByCut_V,25.51,24,24.63,24.82,-600000,3.228461,9.113585,0,0,0,0%
1,1,1,3,1,1,8,16,靜置,09/05/2024 03:18:33,1800,00:00:30:00.000,2.589657,0,0,0,0,27.26333,29.55027,90.2551,95.07063,-2.286939,0,StepFinishByCut_T,24.74,24,24.62,24.92,-600000,0,9.113585,0,0,0,0%
1,1,1,1,1,1,9,17,CC-CV充電,09/05/2024 03:48:33,4253.458,00:01:10:53.458,3.600054,0.399044,30.13253,9.108109,1.436581,36.37144,29.55027,120.3876,95.07063,6.821169,0,StepFinishByCut_I,25.11,24,24.41,24.56,9.045295,3.30832,9.113585,0,0,0,100%
1,1,1,1,1,1,10,18,溫箱控制,09/05/2024 04:59:27,4202.427,00:01:10:02.427,3.524609,0,0,0,0,36.37144,29.55027,120.3876,95.07063,6.821169,0,StepRunning,0.11,-1.3,25,25.12,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,11,19,靜置,09/05/2024 06:09:29,10800,00:03:00:00.000,3.521178,0,0,0,0,36.37144,29.55027,120.3876,95.07063,6.821169,0,StepFinishByCut_T,1.35,-1.5,24.84,25,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,12,20,CC放電,09/05/2024 09:09:29,4061.17,00:01:07:41.170,1.999994,-8.021756,-28.58861,-9.050277,-16.04346,36.37144,38.60054,120.3876,123.6592,-2.229108,0,StepFinishByCut_V,2.81,-0.6,24.95,25.21,-600000,3.158865,9.113585,0,0,0,1%
1,1,1,1,1,1,13,21,溫箱控制,09/05/2024 10:17:10,3002.107,00:00:50:02.107,2.747471,0,0,0,0,36.37144,38.60054,120.3876,123.6592,-2.229108,0,StepRunning,24.4,24,25,25.3,-600000,0,9.113585,0,0,0,1%
1,1,1,1,1,1,14,22,靜置,09/05/2024 11:07:12,10800,00:03:00:00.000,2.772811,0,0,0,0,36.37144,38.60054,120.3876,123.6592,-2.229108,0,StepFinishByCut_T,24.74,24,25.45,25.66,-600000,0,9.113585,0,0,0,1%
1,1,1,1,1,1,15,23,CC-CV充電,09/05/2024 14:07:12,4210.089,00:01:10:10.089,3.600045,0.39962,29.97079,9.046095,1.438651,45.41753,38.60054,150.3584,123.6592,6.816987,0,StepFinishByCut_I,25.11,24,24.79,25.04,8.989789,3.313119,9.113585,0,0,0,100%
1,1,1,1,1,1,16,24,溫箱控制,09/05/2024 15:17:23,3603.119,00:01:00:03.119,3.529186,0,0,0,0,45.41753,38.60054,150.3584,123.6592,6.816987,0,StepRunning,-8.44,-12,25.35,25.49,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,17,25,靜置,09/05/2024 16:17:26,10800,00:03:00:00.000,3.52711,0,0,0,0,45.41753,38.60054,150.3584,123.6592,6.816987,0,StepFinishByCut_T,-8.599999,-12,24.74,25.03,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,18,26,CC放電,09/05/2024 19:17:26,4025.201,00:01:07:05.201,1.999991,-8.023393,-27.52968,-8.970138,-16.04672,45.41753,47.57068,150.3584,151.1889,-2.15315,0,StepFinishByCut_V,-4.45,-12,25.07,25.13,-600000,3.069036,9.113585,0,0,0,1%
1,1,1,1,1,1,19,27,溫箱控制,09/05/2024 20:24:31,3002.068,00:00:50:02.068,2.869313,0,0,0,0,45.41753,47.57068,150.3584,151.1889,-2.15315,0,StepRunning,24.28,24,24.78,25.04,-600000,0,9.113585,0,0,0,1%
1,1,1,1,1,1,20,28,靜置,09/05/2024 21:14:33,10800,00:03:00:00.000,2.879263,0,0,0,0,45.41753,47.57068,150.3584,151.1889,-2.15315,0,StepFinishByCut_T,24.75,24,24.82,25.07,-600000,0,9.113585,0,0,0,1%
1,1,1,1,1,1,21,29,CC-CV充電,09/06/2024 00:14:33,4161.083,00:01:09:21.083,3.600048,0.399177,29.73832,8.966122,1.437055,54.38365,47.57068,180.0967,151.1889,6.812972,0,StepFinishByCut_I,25.13,24,24.74,24.9,8.916219,3.316743,9.113585,0,0,0,100%
1,1,1,1,1,1,22,30,溫箱控制,09/06/2024 01:23:54,3602.142,00:01:00:02.142,3.533516,0,0,0,0,54.38365,47.57068,180.0967,151.1889,6.812972,0,StepRunning,-17.24,-21.5,24.36,24.65,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,23,31,靜置,09/06/2024 02:23:56,10800,00:03:00:00.000,3.532154,0,0,0,0,54.38365,47.57068,180.0967,151.1889,6.812972,0,StepFinishByCut_T,-18.31,-21.5,24.56,24.8,-600000,0,9.113585,0,0,0,100%
1,1,1,1,1,1,24,32,CC放電,09/06/2024 05:23:56,3891.853,00:01:04:51.853,2,-8.022317,-25.44345,-8.672888,-16.04463,54.38365,56.24357,180.0967,176.6324,-1.859916,0,StepFinishByCut_V,-12.44,-21.5,24.48,24.72,-600000,2.933677,9.113585,0,0,0,5%
1,1,1,1,1,1,25,33,溫箱控制,09/06/2024 06:28:48,3001.4,00:00:50:01.400,3.078375,0,0,0,0,54.38365,56.24357,180.0967,176.6324,-1.859916,0,StepRunning,24,24,25.25,25.36,-600000,0,9.113585,0,0,0,5%
1,1,1,1,1,1,26,34,靜置,09/06/2024 07:18:50,10800,00:03:00:00.000,3.082093,0,0,0,0,54.38365,56.24357,180.0967,176.6324,-1.859916,0,StepFinishByCut_T,24.71,24,24.94,25.23,-600000,0,9.113585,0,0,0,5%
1,1,1,1,1,1,27,35,CC-CV充電,09/06/2024 10:18:50,4011.963,00:01:06:51.963,3.600043,0.399784,28.83311,8.66892,1.43924,63.05257,56.24357,208.9298,176.6324,6.809004,0,StepFinishByCut_I,25.09,24,25.04,25.24,8.625865,3.326032,9.113585,0,0,0,100%
1,1,1,1,1,1,28,36,溫箱控制,09/06/2024 11:25:42,4801.241,00:01:20:01.241,3.537169,0,0,0,0,63.05257,56.24357,208.9298,176.6324,6.809004,0,StepRunning,-28.83,-31.5,25.15,25.33,-600000,0,9.113585,0,0,0,100%
