循環,迴圈,子循環,子迴圈,MR編號,子工步編號,工步編號,工步,工步種類,實際開始時間,執行時間(秒),工步執行時間(秒),電壓(V),電流(A),功率(W),電量(Ah),能量(Wh),總電量(Ah),狀態,Aux T1,溫箱溫度,Aux T2,Aux T3
1,1,1,1,1,1,1,1,靜置,03/31/2025 16:48:52,0.01,0.01,4.192663,0,0,0,0,0,StepRunning,25.46,25.1,25.42,25.35
1,1,1,1,1,1,1,1,靜置,03/31/2025 16:49:52,60,60,4.19259,0,0,0,0,0,StepFinishByCut_T,25.41,25.1,25.34,25.3
1,1,1,1,1,1,2,2,溫箱控制,03/31/2025 16:49:52,60.01,0.01,4.192586,0,0,0,0,0,StepRunning,25.41,25.1,25.34,25.3
1,1,1,1,1,1,2,2,溫箱控制,03/31/2025 16:50:41,109.191,49.191,4.192528,0,0,0,0,0,STSSkipByIPC,25.37,25,25.3,25.26
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 16:51:03,109.201,0.01,4.20203,15.25538,64.103561,4.3E-05,0.000179,4.3E-05,StepRunning,25.37,25,25.29,25.25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 16:52:03,169.191,60,4.199973,1.726517,7.251327,0.067714,0.284398,0.067714,StepRunning,25.34,25,25.26,25.24
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 16:52:32,198.4,89.209,4.199968,0.999897,4.199536,0.078625,0.330224,0.078625,StepFinishByCut_I,25.28,25,25.24,25.2
1,1,1,1,1,1,4,4,靜置,03/31/2025 16:52:32,198.41,0.01,4.199306,0,0,0,0,0.078625,StepRunning,25.28,25,25.24,25.2
1,1,1,1,1,1,4,4,靜置,03/31/2025 16:53:32,258.4,60,4.198581,0,0,0,0,0.078625,StepRunning,25.2,24.9,25.1,25.12
1,1,1,1,1,1,4,4,靜置,03/31/2025 16:54:32,318.4,120,4.198354,0,0,0,0,0.078625,StepRunning,25.08,24.8,25.04,25.03
1,1,1,1,1,1,4,4,靜置,03/31/2025 16:55:32,378.4,180,4.198159,0,0,0,0,0.078625,StepRunning,24.95,24.7,24.9,24.9
1,1,1,1,1,1,4,4,靜置,03/31/2025 16:56:32,438.4,240,4.198013,0,0,0,0,0.078625,StepRunning,24.87,24.6,24.84,24.81
1,1,1,1,1,1,4,4,靜置,03/31/2025 16:57:32,498.4,300,4.197907,0,0,0,0,0.078625,StepRunning,24.84,24.5,24.77,24.77
1,1,1,1,1,1,4,4,靜置,03/31/2025 16:58:32,558.4,360,4.197801,0,0,0,0,0.078625,StepRunning,24.8,24.5,24.73,24.73
1,1,1,1,1,1,4,4,靜置,03/31/2025 16:59:32,618.4,420,4.197689,0,0,0,0,0.078625,StepRunning,24.77,24.4,24.75,24.72
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:00:32,678.4,480,4.197587,0,0,0,0,0.078625,StepRunning,24.79,24.4,24.76,24.71
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:01:32,738.4,540,4.197533,0,0,0,0,0.078625,StepRunning,24.82,24.4,24.79,24.73
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:02:32,798.4,600,4.19745,0,0,0,0,0.078625,StepRunning,24.86,24.5,24.83,24.79
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:03:32,858.4,660,4.197369,0,0,0,0,0.078625,StepRunning,24.9,24.5,24.85,24.81
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:04:32,918.4,720,4.197313,0,0,0,0,0.078625,StepRunning,24.91,24.5,24.87,24.82
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:05:32,978.4,780,4.197255,0,0,0,0,0.078625,StepRunning,24.9,24.5,24.9,24.82
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:06:32,1038.4,840,4.197183,0,0,0,0,0.078625,StepRunning,24.86,24.5,24.83,24.8
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:07:32,1098.4,900,4.197128,0,0,0,0,0.078625,StepRunning,24.86,24.5,24.81,24.79
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:08:32,1158.4,960,4.197075,0,0,0,0,0.078625,StepRunning,24.86,24.5,24.82,24.77
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:09:32,1218.4,1020,4.197028,0,0,0,0,0.078625,StepRunning,24.88,24.5,24.85,24.79
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:10:32,1278.4,1080,4.196979,0,0,0,0,0.078625,StepRunning,24.89,24.5,24.83,24.79
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:11:32,1338.4,1140,4.19693,0,0,0,0,0.078625,StepRunning,24.85,24.5,24.84,24.78
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:12:32,1398.4,1200,4.196864,0,0,0,0,0.078625,StepRunning,24.89,24.5,24.83,24.79
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:13:32,1458.4,1260,4.196836,0,0,0,0,0.078625,StepRunning,24.87,24.5,24.83,24.79
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:14:32,1518.4,1320,4.196801,0,0,0,0,0.078625,StepRunning,24.88,24.5,24.84,24.78
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:15:32,1578.4,1380,4.196761,0,0,0,0,0.078625,StepRunning,24.88,24.5,24.84,24.77
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:16:32,1638.4,1440,4.196737,0,0,0,0,0.078625,StepRunning,24.88,24.5,24.84,24.79
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:17:32,1698.4,1500,4.196656,0,0,0,0,0.078625,StepRunning,24.87,24.5,24.81,24.79
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:18:32,1758.4,1560,4.19663,0,0,0,0,0.078625,StepRunning,24.85,24.5,24.82,24.77
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:19:32,1818.4,1620,4.196602,0,0,0,0,0.078625,StepRunning,24.84,24.5,24.83,24.77
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:20:32,1878.4,1680,4.196574,0,0,0,0,0.078625,StepRunning,24.88,24.5,24.84,24.79
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:21:32,1938.4,1740,4.196543,0,0,0,0,0.078625,StepRunning,24.86,24.5,24.8,24.77
1,1,1,1,1,1,4,4,靜置,03/31/2025 17:22:32,1998.4,1800,4.1965,0,0,0,0,0.078625,StepFinishByCut_T,24.83,24.5,24.81,24.77
1,1,1,1,1,1,5,5,CC放電,03/31/2025 17:22:32,1998.41,0.01,4.183901,-20.00625,-83.704185,-5.6E-05,-0.000232,0.07857,StepRunning,24.83,24.5,24.81,24.77
1,1,1,1,1,1,5,5,CC放電,03/31/2025 17:23:32,2058.4,60,4.151546,-20.00425,-83.048546,-0.333382,-1.388515,-0.254757,StepRunning,24.88,24.5,24.82,24.79
1,1,1,1,1,1,5,5,CC放電,03/31/2025 17:24:32,2118.4,120,4.1288,-20.00433,-82.593903,-0.666783,-2.768788,-0.588158,StepRunning,24.87,24.5,24.82,24.79
1,1,1,1,1,1,5,5,CC放電,03/31/2025 17:25:32,2178.4,180,4.107439,-20.00072,-82.151756,-1.000187,-4.141761,-0.921562,StepRunning,24.85,24.5,24.81,24.78
1,1,1,1,1,1,5,5,CC放電,03/31/2025 17:26:32,2238.4,240,4.086636,-20.00616,-81.757874,-1.333601,-5.507763,-1.254976,StepRunning,24.85,24.5,24.84,24.78
1,1,1,1,1,1,5,5,CC放電,03/31/2025 17:27:32,2298.4,300,4.066183,-20.00197,-81.331688,-1.667012,-6.866876,-1.588387,StepRunning,24.88,24.5,24.84,24.79
