循環,迴圈,子循環,子迴圈,MR編號,子配方編號,工步編號,工步,工步種類,日期時間,工步執行時間(秒),工步時間,截止電壓(V),截止電流(A),能量(Wh),截止電量(Ah),功率(W),充電電量(Ah),放電電量(Ah),充電能量(Wh),放電能量(Wh),總電量(Ah),截止Q(%),狀態,Aux T1,溫箱溫度,Aux T2,Aux T3
1,1,1,1,1,1,1,1,靜置,02/20/2025 09:20:54,60,00:00:01:00.000,3.491991,0,0,0,0,0,0,0,0,0,0,StepFinishByCut_T,25.2,25,24.7,24.6
1,1,1,1,1,1,2,2,溫箱控制,02/20/2025 09:21:54,2401.848,00:00:40:01.848,3.4963,0,0,0,0,0,0,0,0,0,0,StepRunning,24.76,25,24.68,24.58
1,1,1,1,1,1,3,3,CC-CV充電,02/20/2025 10:01:56,3194.863,00:00:53:14.863,4.200186,0.973813,61.167,16.02617,4.090198,16.02617,0,61.167,0,16.02617,0,StepFinishByCut_I,25.29,25,24.66,24.58
1,1,1,1,1,1,4,4,靜置,02/20/2025 10:55:11,1800,00:00:30:00.000,4.192473,0,0,0,0,16.02617,0,61.167,0,16.02617,0,StepFinishByCut_T,24.71,25,24.6,24.52
1,1,1,1,1,1,5,5,CC放電,02/20/2025 11:25:11,3596.805,00:00:59:56.805,2.999991,-19.50898,-71.80679,-19.49288,-58.52678,16.02617,19.49288,61.167,71.80679,-3.466704,0,StepFinishByCut_V,26.06,25,24.67,24.56
1,1,1,1,1,1,6,6,靜置,02/20/2025 12:25:08,1800,00:00:30:00.000,3.08482,0,0,0,0,16.02617,19.49288,61.167,71.80679,-3.466704,0,StepFinishByCut_T,24.82,25,24.63,24.54
1,1,1,2,1,1,3,7,CC-CV充電,02/20/2025 12:55:08,3836.047,00:01:03:56.047,4.200245,0.974664,73.0931,19.49924,4.093829,35.52541,19.49288,134.2601,71.80679,16.03253,0,StepFinishByCut_I,25.29,25,24.68,24.58
1,1,1,2,1,1,4,8,靜置,02/20/2025 13:59:04,1800,00:00:30:00.000,4.192617,0,0,0,0,35.52541,19.49288,134.2601,71.80679,16.03253,0,StepFinishByCut_T,24.76,25,24.68,24.58
1,1,1,2,1,1,5,9,CC放電,02/20/2025 14:29:04,3599.656,00:00:59:59.656,2.999995,-19.51131,-71.86414,-19.50838,-58.53384,35.52541,39.00126,134.2601,143.6709,-3.475844,0,StepFinishByCut_V,26.1,25,24.73,24.62
1,1,1,2,1,1,6,10,靜置,02/20/2025 15:29:03,1800,00:00:30:00.000,3.083386,0,0,0,0,35.52541,39.00126,134.2601,143.6709,-3.475844,0,StepFinishByCut_T,24.87,25,24.7,24.57
1,1,1,1,1,1,7,11,CC-CV充電,02/20/2025 15:59:03,1801.652,00:00:30:01.652,3.697967,19.48768,34.70674,9.754189,72.0648,45.2796,39.00126,168.9668,143.6709,6.278346,0,StepFinishByFunction,25.57,25,24.7,24.61
1,1,1,1,1,1,8,12,靜置,02/20/2025 16:29:05,3600,00:01:00:00.000,3.672495,0,0,0,0,45.2796,39.00126,168.9668,143.6709,6.278346,0,StepFinishByCut_T,24.72,25,24.7,24.61
1,1,1,1,1,1,9,13,CP充電,02/20/2025 17:29:05,60,00:00:01:00.000,4.028148,218.4961,14.66822,3.724524,880.1346,49.00412,39.00126,183.6351,143.6709,10.00287,0,StepFinishByCut_T,26.61,25,24.86,24.72
1,1,1,1,1,1,10,14,靜置,02/20/2025 17:30:05,600,00:00:10:00.000,3.851184,0,0,0,0,49.00412,39.00126,183.6351,143.6709,10.00287,0,StepFinishByCut_T,27.08,25,24.81,24.7
1,1,1,1,1,1,11,15,CC放電,02/20/2025 17:40:05,2488.659,00:00:41:28.659,2.999999,-19.50961,-47.91661,-13.48745,-58.5288,49.00412,52.4887,183.6351,191.5875,-3.484583,0,StepFinishByCut_V,26.15,25,24.74,24.63
1,1,1,1,1,1,12,16,靜置,02/20/2025 18:21:34,1800,00:00:30:00.000,3.082508,0,0,0,0,49.00412,52.4887,183.6351,191.5875,-3.484583,0,StepFinishByCut_T,24.86,25,24.67,24.56
1,1,1,1,1,1,13,17,CC-CV充電,02/20/2025 18:51:34,1080.99,00:00:18:00.990,3.621166,19.48956,20.43552,5.852514,70.57494,54.85664,52.4887,204.0706,191.5875,2.367932,0,StepFinishByFunction,24.65,25,24.67,24.57
1,1,1,1,1,1,14,18,靜置,02/20/2025 19:09:35,600,00:00:10:00.000,3.598913,0,0,0,0,54.85664,52.488705,204.070572,191.58754,2.367932,0,StepFinishByCut_T,24.6999988555908,25,24.6700000762939,24.5399990081787
