循環,迴圈,子循環,子迴圈,MR編號,子工步編號,工步編號,工步,工步種類,實際開始時間,執行時間(秒),工步執行時間(秒),電壓(V),電流(A),功率(W),電量(Ah),能量(Wh),總電量(Ah),狀態,Aux T1,溫箱溫度
1,1,1,1,1,1,1,1,靜置,03/31/2025 12:42:44,0.01,0.01,3.719639,0,0,0,0,0,StepRunning,24.61,24.9
1,1,1,1,1,1,1,1,靜置,03/31/2025 12:43:44,60,60,3.719636,0,0,0,0,0,StepFinishByCut_T,24.65,25
1,1,1,1,1,1,2,2,溫箱控制,03/31/2025 12:43:44,60.01,0.01,3.719648,0,0,0,0,0,StepRunning,24.65,25
1,1,1,1,1,1,2,2,溫箱控制,03/31/2025 12:53:44,660,600,3.719678,0,0,0,0,0,StepRunning,24.68,25
1,1,1,1,1,1,2,2,溫箱控制,03/31/2025 13:03:44,1260,1200,3.719668,0,0,0,0,0,StepRunning,24.69,25
1,1,1,1,1,1,2,2,溫箱控制,03/31/2025 13:13:44,1860,1800,3.719682,0,0,0,0,0,StepRunning,24.7,25
1,1,1,1,1,1,2,2,溫箱控制,03/31/2025 13:23:44,2460,2400,3.719651,0,0,0,0,0,StepRunning,24.64,24.9
1,1,1,1,1,1,2,2,溫箱控制,03/31/2025 13:23:45,2461.398,2401.398,3.719653,0,0,0,0,0,StepRunning,24.65,24.9
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:23:45,2461.408,0.01,3.728536,5.489219,20.466751,1.5E-05,5.7E-05,1.5E-05,StepRunning,24.65,24.9
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:24:45,2521.398,60,3.753222,5.498124,20.635679,0.091613,0.342938,0.091613,StepRunning,24.7,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:25:45,2581.398,120,3.770102,5.496164,20.7211,0.183222,0.687553,0.183222,StepRunning,24.79,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:26:45,2641.398,180,3.786893,5.496604,20.815054,0.274831,1.033686,0.274831,StepRunning,24.84,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:27:45,2701.398,240,3.804616,5.495833,20.909536,0.36643,1.381373,0.36643,StepRunning,24.88,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:28:45,2761.398,300,3.822029,5.495268,21.003075,0.458029,1.730672,0.458029,StepRunning,24.95,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:29:45,2821.398,360,3.840169,5.497219,21.110247,0.54963,2.081592,0.54963,StepRunning,24.97,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:30:45,2881.398,420,3.860431,5.493029,21.205458,0.64123,2.434263,0.64123,StepRunning,24.95,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:31:45,2941.398,480,3.881752,5.496012,21.334158,0.732832,2.788867,0.732832,StepRunning,24.93,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:32:45,3001.398,540,3.90145,5.494955,21.438292,0.824437,3.145376,0.824437,StepRunning,24.92,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:33:45,3061.398,600,3.919487,5.495384,21.539085,0.916047,3.503625,0.916047,StepRunning,24.9,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:34:45,3121.398,660,3.936972,5.496164,21.638247,1.007659,3.863497,1.007659,StepRunning,24.84,24.9
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:35:45,3181.398,720,3.954249,5.495659,21.731205,1.099271,4.224961,1.099271,StepRunning,24.77,24.9
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:36:45,3241.398,780,3.97169,5.496097,21.828793,1.190884,4.588019,1.190884,StepRunning,24.78,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:37:45,3301.398,840,3.989331,5.497229,21.930262,1.282494,4.952672,1.282494,StepRunning,24.72,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:38:45,3361.398,900,4.007278,5.497456,22.029835,1.374102,5.318944,1.374102,StepRunning,24.71,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:39:45,3421.398,960,4.025562,5.498106,22.132967,1.465714,5.686896,1.465714,StepRunning,24.73,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:40:45,3481.398,1020,4.04416,5.497413,22.232418,1.557321,6.056514,1.557321,StepRunning,24.71,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:41:45,3541.398,1080,4.063233,5.49667,22.334253,1.648929,6.427863,1.648929,StepRunning,24.72,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:42:45,3601.398,1140,4.08272,5.495181,22.435286,1.740538,6.800981,1.740538,StepRunning,24.68,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:43:45,3661.398,1200,4.10262,5.497855,22.555609,1.832161,7.175962,1.832161,StepRunning,24.7,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:44:45,3721.398,1260,4.122946,5.496233,22.660671,1.923788,7.552801,1.923788,StepRunning,24.65,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:45:45,3781.398,1320,4.143734,5.499081,22.78673,2.015415,7.931523,2.015415,StepRunning,24.65,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:46:45,3841.398,1380,4.164837,5.496059,22.890194,2.107036,8.31214,2.107036,StepRunning,24.61,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:47:45,3901.398,1440,4.186335,5.497914,23.016109,2.198653,8.694694,2.198653,StepRunning,24.64,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:48:45,3961.398,1500,4.208066,5.497862,23.135366,2.290266,9.07921,2.290266,StepRunning,24.64,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:49:45,4021.398,1560,4.229929,5.497067,23.252203,2.381881,9.465732,2.381881,StepRunning,24.67,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:50:45,4081.398,1620,4.251773,5.496554,23.370104,2.473492,9.854247,2.473492,StepRunning,24.69,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:51:45,4141.398,1680,4.27329,5.49761,23.492882,2.565101,10.24474,2.565101,StepRunning,24.71,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:52:45,4201.398,1740,4.294153,5.496159,23.601349,2.656716,10.6372,2.656716,StepRunning,24.73,25
1,1,1,1,1,1,3,3,CC-CV充電,03/31/2025 13:53:45,4261.398,1800,4.299906,2.239637,9.63023,2.723145,10.92276,2.723145,StepRunning,24.75,25
